全国地方公共団体コード,ID,名称,名称_カナ,所在地_全国地方公共団体コード,所在地_連結表記,緯度,経度,電話番号,市区町村コード,地方公共団体名,想定収容人数,備考
222232,CC00000001,池新田地区センター,イケシンデンチクセンター,222232,静岡県御前崎市池新田3262,34.648205,138.129044,0537-86-2200,222232,静岡県御前崎市,498,方面隊
222232,CC00000002,高松地区センター　体育館,タカマツチクセンター　タイイクカン,222232,静岡県御前崎市門屋2060-2,34.65336,138.102408,0537-86-4949,222232,静岡県御前崎市,227,方面隊
222232,CC00000003,佐倉地区センター,サクラチクセンター,222232,静岡県御前崎市佐倉3617-1,34.629518,138.156735,0537-86-2304,222232,静岡県御前崎市,488,方面隊
222232,CC00000004,比木地区センター　体育館,ヒキチクセンター　タイイクカン,222232,静岡県御前崎市比木2836-5,34.654394,138.165661,0537-86-3463,222232,静岡県御前崎市,378,方面隊
222232,CC00000005,朝比奈地区センター　体育館,アサヒナチクセンター　タイイクカン,222232,静岡県御前崎市上朝比奈2681-1,34.667689,138.147028,0537-86-3365,222232,静岡県御前崎市,364,方面隊
222232,CC00000006,新野地区センター　体育館,ニイノチクセンター　タイイクカン,222232,静岡県御前崎市新野789-1,34.672153,138.118556,0537-86-2024,222232,静岡県御前崎市,265,方面隊
222232,CC00000007,御前崎地区センター,オマエザキチクセンター,222232,静岡県御前崎市白羽5401-1,34.61125,138.205892,0548-63-3828,222232,静岡県御前崎市,903,方面隊
222232,CC00000008,御前崎第一小学校　体育館,オマエザキダイイチショウガッコウ　タイイクカン,222232,静岡県御前崎市池新田1520,34.652174,138.120393,0537-86-2052,222232,静岡県御前崎市,350,避難所は体育館
222232,CC00000009,浜岡東小学校　体育館,ハマオカヒガシショウガッコウ　タイイクカン,222232,静岡県御前崎市佐倉1403-1,34.635867,138.159344,0537-86-3462,222232,静岡県御前崎市,285,避難所は体育館
222232,CC00000010,浜岡北小学校　体育館,ハマオカキタショウガッコウ　タイイクカン,222232,静岡県御前崎市下朝比奈753,34.669248,138.134234,0537-86-3364,222232,静岡県御前崎市,293,避難所は体育館
222232,CC00000011,御前崎小学校　体育館,オマエザキショウガッコウ　タイイクカン,222232,静岡県御前崎市御前崎3556,34.604265,138.216186,0548-63-2007,222232,静岡県御前崎市,378,避難所は体育館
222232,CC00000012,白羽小学校　体育館,シロワショウガッコウ　タイイクカン,222232,静岡県御前崎市白羽3521-3,34.611171,138.189884,0548-63-2177,222232,静岡県御前崎市,407,避難所は体育館
222232,CC00000013,浜岡中学校　体育館,ハマオカチュウガッコウ　タイイクカン,222232,静岡県御前崎市池新田3923-1,34.64339,138.128797,0537-86-3355,222232,静岡県御前崎市,1169,避難所は体育館
222232,CC00000014,池新田高等学校　体育館,イケシンデンコウトウガッコウ　タイイクカン,222232,静岡県御前崎市池新田2907-1,34.650817,138.127107,0537-86-2460,222232,静岡県御前崎市,1003,静岡県有施設
222232,CC00000015,はまおか幼稚園,ハマオカヨウチエン,222232,静岡県御前崎市池新田5814,34.63870,138.1310,0537-86-2049,222232,静岡県御前崎市,629,遊戯室を災害状況により開設
222232,CC00000016,さくらこども園,サクラコドモエン,222232,静岡県御前崎市佐倉888-1,34.634554,138.155555,0537-86-3036,222232,静岡県御前崎市,1104,遊戯室を災害状況により開設
222232,CC00000017,北こども園,キタコドモエン,222232,静岡県御前崎市上朝比奈2692-12,34.66950,138.1480,0537-86-3234,222232,静岡県御前崎市,353,遊戯室を災害状況により開設
222232,CC00000018,御前崎こども園　幼児棟,オマエザキコドモエン　ヨウジトウ,222232,静岡県御前崎市御前崎78-27,34.604173,138.213801,0548-63-2342,222232,静岡県御前崎市,353,遊戯室を災害状況により開設
