Vehicle,Route,Fitness
Vehicle 1,0 -> 307 -> 285 -> 266 -> 11 -> 258 -> 235 -> 267 -> 7 -> 293 -> 296 -> 21 -> 309 -> 316 -> 12 -> 174 -> 70 -> 15 -> 72 -> 78 -> 98 -> 8 -> 218 -> 205 -> 207 -> 17 -> 214 -> 213 -> 41 -> 20 -> 177 -> 183 -> 9 -> 195 -> 193 -> 4 -> 176 -> 210 -> 230 -> 6 -> 123 -> 122 -> 2 -> 0,
Vehicle 2,0 -> 141 -> 129 -> 60 -> 48 -> 20 -> 35 -> 40 -> 28 -> 15 -> 91 -> 49 -> 13 -> 61 -> 77 -> 14 -> 227 -> 211 -> 5 -> 204 -> 192 -> 4 -> 197 -> 47 -> 1 -> 89 -> 105 -> 22 -> 37 -> 29 -> 170 -> 16 -> 167 -> 312 -> 262 -> 11 -> 240 -> 236 -> 19 -> 271 -> 263 -> 264 -> 7 -> 0,
Vehicle 3,0 -> 120 -> 90 -> 32 -> 53 -> 15 -> 30 -> 181 -> 20 -> 26 -> 180 -> 15 -> 121 -> 134 -> 2 -> 119 -> 67 -> 13 -> 64 -> 63 -> 14 -> 107 -> 215 -> 186 -> 4 -> 150 -> 171 -> 16 -> 320 -> 323 -> 12 -> 274 -> 246 -> 11 -> 243 -> 256 -> 11 -> 257 -> 272 -> 7 -> 295 -> 294 -> 7 -> 268 -> 7 -> 0,
Vehicle 4,0 -> 125 -> 110 -> 82 -> 115 -> 6 -> 206 -> 208 -> 315 -> 12 -> 289 -> 292 -> 21 -> 290 -> 239 -> 254 -> 18 -> 273 -> 269 -> 310 -> 12 -> 142 -> 148 -> 3 -> 149 -> 147 -> 3 -> 152 -> 280 -> 21 -> 287 -> 50 -> 20 -> 83 -> 88 -> 96 -> 22 -> 87 -> 102 -> 22 -> 139 -> 111 -> 2 -> 0,
Vehicle 5,0 -> 34 -> 43 -> 81 -> 59 -> 1 -> 212 -> 44 -> 15 -> 103 -> 76 -> 22 -> 133 -> 140 -> 2 -> 109 -> 224 -> 223 -> 6 -> 56 -> 198 -> 4 -> 190 -> 145 -> 3 -> 175 -> 163 -> 304 -> 12 -> 275 -> 154 -> 143 -> 3 -> 161 -> 178 -> 20 -> 52 -> 33 -> 20 -> 66 -> 97 -> 22 -> 84 -> 8 -> 0,
Vehicle 6,0 -> 31 -> 146 -> 313 -> 261 -> 11 -> 234 -> 241 -> 303 -> 12 -> 317 -> 322 -> 144 -> 3 -> 42 -> 27 -> 38 -> 20 -> 79 -> 69 -> 22 -> 86 -> 101 -> 22 -> 112 -> 71 -> 14 -> 57 -> 200 -> 17 -> 217 -> 203 -> 229 -> 6 -> 221 -> 94 -> 58 -> 1 -> 113 -> 118 -> 6 -> 222 -> 6 -> 0,
Vehicle 7,0 -> 196 -> 194 -> 151 -> 318 -> 3 -> 300 -> 265 -> 11 -> 255 -> 250 -> 11 -> 281 -> 282 -> 21 -> 251 -> 276 -> 7 -> 305 -> 165 -> 3 -> 168 -> 23 -> 39 -> 15 -> 75 -> 46 -> 15 -> 106 -> 104 -> 22 -> 54 -> 189 -> 4 -> 188 -> 199 -> 202 -> 17 -> 225 -> 231 -> 6 -> 219 -> 114 -> 6 -> 0,
Vehicle 8,0 -> 45 -> 319 -> 169 -> 51 -> 20 -> 65 -> 216 -> 220 -> 6 -> 95 -> 92 -> 73 -> 14 -> 93 -> 130 -> 127 -> 2 -> 131 -> 137 -> 2 -> 117 -> 55 -> 187 -> 4 -> 191 -> 185 -> 9 -> 156 -> 155 -> 160 -> 16 -> 164 -> 179 -> 306 -> 12 -> 308 -> 260 -> 283 -> 21 -> 277 -> 21 -> 0,
Vehicle 9,0 -> 24 -> 36 -> 158 -> 159 -> 3 -> 153 -> 184 -> 172 -> 16 -> 182 -> 228 -> 6 -> 201 -> 85 -> 128 -> 2 -> 136 -> 138 -> 2 -> 100 -> 302 -> 12 -> 297 -> 288 -> 21 -> 286 -> 284 -> 21 -> 253 -> 247 -> 11 -> 237 -> 238 -> 19 -> 244 -> 245 -> 248 -> 18 -> 259 -> 291 -> 298 -> 12 -> 0,
Vehicle 10,0 -> 74 -> 68 -> 80 -> 15 -> 166 -> 311 -> 279 -> 21 -> 270 -> 249 -> 11 -> 242 -> 233 -> 19 -> 232 -> 252 -> 11 -> 278 -> 301 -> 299 -> 12 -> 314 -> 321 -> 3 -> 157 -> 25 -> 15 -> 99 -> 135 -> 132 -> 2 -> 124 -> 116 -> 2 -> 126 -> 108 -> 14 -> 62 -> 209 -> 10 -> 226 -> 173 -> 16 -> 162 -> 16 -> 0,

Best Fitness,349769.36204949516
