Generation,Best Fitness,Mean Fitness,Std Dev
1,490042.5783364901,513158.5293022262,6999.779208630545
2,486347.3168424986,512275.29205572535,7262.846617873411
3,486071.55177150806,511805.0416308967,7028.731257538642
4,485993.2677293904,511050.0489149692,7303.5282459151695
5,485656.48607047496,511092.47572978085,7577.716626751826
6,485540.7209308519,511188.95607597113,7586.47819425223
7,485332.97658967343,511117.95294999547,7666.032571555686
8,485332.97658967343,510739.3998622097,7400.966817944859
9,484690.41778698156,510766.75618361065,7606.319265087593
10,484690.41778698156,510594.4735976684,7752.405509587041
11,484690.41778698156,510148.55747323466,8051.231914927368
12,484690.41778698156,510898.8822431857,7485.516222997252
13,484690.41778698156,511704.6798351152,7555.893450126786
14,484690.41778698156,511491.2807608069,7281.256859070693
15,484690.41778698156,511884.5022969496,7035.524499946247
16,484690.41778698156,511763.27610046434,7137.52305534147
17,484690.41778698156,511893.9375463216,7142.095144760154
18,484690.41778698156,511018.08998372057,7009.189225185453
19,484690.41778698156,511546.93625948526,7883.360754489135
20,484690.41778698156,511920.69235319394,7383.3443240408105
21,484219.57534193544,511521.5812306131,7382.364332950717
22,484219.57534193544,511977.2782132152,7376.199678995501
23,484219.57534193544,511713.06001703657,7129.39589665934
24,483569.38088591973,511396.1821043233,7294.442951345156
25,483569.38088591973,510970.2066540414,7367.331317809892
26,483569.38088591973,511773.9730786339,7262.593397974032
27,483569.38088591973,511150.4868104839,7079.6014968251375
28,483569.38088591973,511999.1376797458,7229.567147842909
29,483569.38088591973,512174.3083200557,7296.852160480615
30,483569.38088591973,511623.1302375529,7341.533858947423
31,483569.38088591973,511744.622784241,7565.200323362903
32,483569.38088591973,511642.19119779184,7143.507839913335
33,483569.38088591973,511815.02143899276,7102.485761646449
34,483569.38088591973,511575.11236855213,6669.632112203485
35,483569.38088591973,511634.7213633604,7112.0875834144945
36,483569.38088591973,512164.8402501346,7343.646958671512
37,483569.38088591973,511840.6021946252,7437.380361501715
38,483569.38088591973,511651.1609501926,7403.0633966989735
39,483569.38088591973,511815.9682719961,7469.861777069403
40,483569.38088591973,511693.6661702372,7506.771313527322
41,483569.38088591973,511497.16246634605,7478.262308029023
42,483569.38088591973,511938.93546856544,7359.187547046122
43,482881.37336117664,511411.9787722995,7712.545366091425
44,482881.37336117664,511833.3869833985,7115.4139355605175
45,482881.37336117664,512124.9526554611,7162.384433248559
46,482740.1201390393,511348.4515531155,7370.380923103439
47,482740.1201390393,512249.7259055881,7452.68039893755
48,482740.1201390393,511502.1078944659,7349.587906069271
49,482740.1201390393,512084.66662690154,7322.591326833497
50,482740.1201390393,511350.8926544502,7029.697720497004
51,482740.1201390393,511535.07494580885,7149.740704303439
52,482740.1201390393,511702.3893418985,7618.3025233321605
53,482740.1201390393,511668.7384829653,7510.877814401231
54,482123.51453637244,511503.01788728265,7790.179650428173
55,482123.51453637244,511170.2299344203,7802.264878731826
56,482123.51453637244,511923.3336325504,7523.4335495125
57,482123.51453637244,510796.47805608856,8027.534596331062
58,481463.4081258237,512003.7911610841,7440.678319758929
59,481463.4081258237,511390.5073062855,7055.769761662116
60,481463.4081258237,511772.8584688751,7472.541538129163
61,481463.4081258237,511237.2717928007,7934.624803385389
62,481463.4081258237,511541.08671745175,7890.685827689709
63,481463.4081258237,511617.11101759423,7912.5955900829895
64,478952.28489668225,511391.5853737662,7685.891496311359
65,478952.28489668225,511419.443243442,7528.556986247631
66,478952.28489668225,511200.31859668077,7739.654014764691
67,478952.28489668225,511475.5604403927,7665.011503952391
68,478952.28489668225,511213.0489907248,7890.677471314939
69,478952.28489668225,511380.53665888857,7589.982161270422
70,478952.28489668225,512530.7022836339,7342.648009290096
71,478952.28489668225,511399.1712442871,7781.774055944416
72,478952.28489668225,511052.3061967559,7712.134647585056
73,478952.28489668225,511667.04587681126,7431.435437385698
74,478707.32556486403,511138.610357918,8240.106385491708
75,478707.32556486403,511833.1234715391,7952.46696982622
76,478707.32556486403,511251.01710466645,7601.043280500699
77,478616.68441061827,510988.19125194545,7600.920736732237
78,478616.68441061827,511553.5149271114,7301.194947726631
79,478616.68441061827,511813.9076104553,7437.014913332335
80,478616.68441061827,510785.96838762757,7468.960109694429
81,478616.68441061827,511351.19239221996,8006.527058340441
82,478616.68441061827,511255.7226707716,7645.464961772612
83,478616.68441061827,511983.68277561857,7880.70940915331
84,478616.68441061827,511599.99459909106,7552.072304112556
85,478201.1979082932,511722.89487604605,7446.725304576019
86,478201.1979082932,511690.7791488283,7073.624814589484
87,478201.1979082932,511538.3961853875,7246.069355174826
88,478201.1979082932,511809.594522462,7429.870179603112
89,478201.1979082932,511910.34291839343,7517.9209999739105
90,478201.1979082932,511651.4528424537,7657.810389487046
91,478201.1979082932,511177.82459190546,7493.046939672326
92,478201.1979082932,511592.53093875106,7967.344440220279
93,478201.1979082932,511347.8093405339,7306.025499746068
94,478201.1979082932,511984.21301023016,7522.887086050534
95,478201.1979082932,511859.6905339453,7688.469002563482
96,478201.1979082932,511399.8555567081,7700.387897653172
97,478201.1979082932,511621.26439446065,7398.633198499981
98,478201.1979082932,511295.85212620546,7099.211447249005
99,478201.1979082932,511648.82120519783,7425.704433556565
100,478201.1979082932,511954.4634827238,7719.046594916468
101,478201.1979082932,511195.5090141275,7498.661042304172
102,478201.1979082932,511152.57912787644,7220.076070166591
103,478201.1979082932,512276.54617268505,7564.690794531351
104,478201.1979082932,512468.3087361462,7231.392820281314
105,478201.1979082932,511823.4340771223,7186.977770440597
106,478201.1979082932,511943.8796089733,7427.245292823318
107,478201.1979082932,511791.0645015439,7484.077450884435
108,478201.1979082932,511275.0340821022,7295.191823043048
109,476665.00571553764,510874.22283719096,7657.336379335
110,476665.00571553764,511815.26626657153,7832.450908969607
111,476665.00571553764,511477.80998801364,7823.192204145231
112,476067.90775464824,511678.6455572851,7942.709399651983
113,476067.90775464824,511563.0012715751,7405.1042651800435
114,476067.90775464824,511132.6391674361,7398.98233273632
115,474525.7346763901,511658.7206477697,7995.845826067941
116,474525.7346763901,511274.153283356,7953.620957968345
117,474525.7346763901,511076.61919034517,7878.497786505919
118,474525.7346763901,510828.0370582758,7770.623191934485
119,474525.7346763901,511129.0116544596,7655.159965607269
120,474525.7346763901,511722.9529336161,7571.656791301201
121,473130.5576580259,511749.03604324925,8111.954548020494
122,473130.5576580259,511317.7329251361,7563.718175817993
123,472907.01508126047,512034.7603060081,8110.799897935203
124,472907.01508126047,511356.76821687986,8069.5608757219625
125,472907.01508126047,512008.29921893525,7522.700250061579
126,472907.01508126047,511961.4410759537,7586.645269346422
127,472907.01508126047,511673.2645509624,7658.13604443689
128,472907.01508126047,511576.73047677515,8061.656642830745
129,472175.16896143835,511175.47600658285,7981.366392124141
130,472175.16896143835,511357.2464049993,8136.741841074187
131,472175.16896143835,511141.76810480707,7544.538764048892
132,472175.16896143835,511253.7390897935,7273.467275746237
133,472175.16896143835,511351.82690037525,7906.48911699519
134,472175.16896143835,511637.8886976318,7903.21210038266
135,472175.16896143835,512080.1259796499,7501.889439389197
136,472175.16896143835,511328.4031891134,7629.844299551468
137,472175.16896143835,512138.2384526442,7924.376500616539
138,471965.4315411348,512032.9698234314,7609.213766615649
139,471042.932970488,512082.015533589,7480.064490512817
140,471042.932970488,512058.2432799817,7362.876139553617
141,471042.932970488,511627.62919560476,7386.2713566263565
142,471042.932970488,511577.7815180192,7593.393214629535
143,471042.932970488,511316.91822703957,7795.309211668846
144,471042.932970488,511192.46694527246,7895.069877623608
145,471042.932970488,511703.532301428,7995.699131820517
146,471042.932970488,510801.27118717163,7621.398937116808
147,471042.932970488,511542.8651987754,7767.682173326831
148,471042.932970488,511620.1123172933,7484.6762438587875
149,471042.932970488,511523.1831168424,7181.43946922167
150,471042.932970488,511524.0617200009,7679.434446828858
151,471042.932970488,511254.65177695465,8077.577686731424
152,471042.932970488,511388.6654776462,7357.374611710182
153,471042.932970488,511693.05200547876,7446.536923113812
154,471042.932970488,511914.19238381874,7351.652523748808
155,471042.932970488,511087.86522266676,7490.44556468563
156,471042.932970488,512052.68661978864,7170.4807468877325
157,471042.932970488,511834.55594938266,7649.62503491671
158,471042.932970488,511765.06544835214,7329.158944903697
159,471042.932970488,511525.6886231695,7372.919956162372
160,471042.932970488,511491.0483338194,7436.538953612259
161,471042.932970488,511169.4365492266,7494.929033360923
162,471042.932970488,511287.5179583874,7539.737316070964
163,471042.932970488,511244.3563552226,8558.627065691217
164,471042.932970488,511772.249512024,8230.924813495603
165,471042.932970488,511531.9291262206,7745.045879365648
166,471042.932970488,511611.75975143,7506.031096045799
167,471042.932970488,511216.04182746785,7462.757168703826
168,471042.932970488,511558.44845134724,7039.673775297129
169,471042.932970488,511978.2058691819,7663.050785224979
170,471042.932970488,511794.7289333477,7719.371787880918
171,471042.932970488,511882.49771748675,7793.251014059103
172,471042.932970488,511905.7340042067,8011.914742503123
173,471042.932970488,511969.83162794844,7038.653732439664
174,471042.932970488,511581.5056918754,7521.087224905552
175,471042.932970488,512449.89679047966,7367.457692725653
176,471042.932970488,511100.2458508389,6951.120788699944
177,471042.932970488,512146.64187404036,7265.455377197246
178,471042.932970488,511642.0399694414,7247.086734474203
179,471042.932970488,511152.6863805975,7624.157310476323
180,471042.932970488,512279.95848934125,7974.672233029006
181,471042.932970488,511941.2472021939,7505.3457969540505
182,471042.932970488,511333.65502233483,7769.272002246797
183,471042.932970488,511609.9445407121,7909.5528055389805
184,471042.932970488,511734.41302161413,7637.881505124966
185,470499.48665330117,511565.2892768159,8285.557572872003
186,470499.48665330117,511476.0417792344,7538.5785038951535
187,470499.48665330117,511303.23571122624,7523.080538532226
188,470499.48665330117,510996.4391480476,7675.4040665708935
189,470499.48665330117,511316.94887230976,7535.830183220103
190,470499.48665330117,511366.0957960936,7799.674978316036
191,469700.243597968,510311.0625453724,8641.311086878279
192,469700.243597968,510181.4578263084,8702.238374922736
193,469700.243597968,511127.36415208975,8763.038119616202
194,469700.243597968,511131.83027640305,7578.652898462055
195,469700.243597968,510663.8287998703,7350.928761634398
196,469700.243597968,511643.47783726925,7625.18913666663
197,469700.243597968,511855.8364541407,7858.768207312381
198,469700.243597968,511772.9898077033,7371.749061290685
199,469700.243597968,511517.04320838186,7523.470788354947
200,469700.243597968,511823.2136772678,7680.5205723386025
201,469700.243597968,510973.4757769432,7865.8537315641
202,469700.243597968,510685.6039413215,7578.039282694382
203,469700.243597968,511415.2346972564,7807.538359472116
204,469700.243597968,512248.7482105032,7136.381552815002
205,468881.2318562623,511468.63427783665,7707.016913906813
206,468881.2318562623,511235.2021410803,7505.343196799079
207,468881.2318562623,511546.0463576963,7702.085334877411
208,468881.2318562623,510816.42870567605,7476.181893656335
209,468881.2318562623,511620.69458851893,7951.985327001084
210,468881.2318562623,511845.0542173091,7618.185391874661
211,468881.2318562623,511479.71509519493,7236.674840906747
212,468881.2318562623,511441.968975752,6885.239669378263
213,468881.2318562623,511393.10906386375,7316.826772379426
214,468881.2318562623,511634.46311896585,7256.355910816408
215,468881.2318562623,511439.10669704614,7548.469906923636
216,468037.00212842284,511320.90534078813,7800.325404169124
217,468037.00212842284,511811.79790893296,7846.622863642326
218,468037.00212842284,511214.24246547854,8471.327678129892
219,468037.00212842284,511439.4111756536,7891.540769680101
220,468037.00212842284,511852.3433197495,7472.542711067571
221,468037.00212842284,511952.8826383185,7384.5941346481895
222,468037.00212842284,511349.175592857,7562.047177027166
223,468037.00212842284,510953.0775540369,7597.642397564948
224,468037.00212842284,511300.9980384612,8070.244486485811
225,468037.00212842284,511347.51835342037,7502.395244029496
226,468037.00212842284,511207.46290676296,7437.06439221873
227,466639.67540581356,511629.80807836924,7873.385560341839
228,465072.1366047205,511960.744175888,7709.778580993026
229,465072.1366047205,511629.0241584482,7476.637978467218
230,465072.1366047205,511382.8668649045,7563.06883373107
231,465072.1366047205,511590.14343966864,7778.028346494808
232,465072.1366047205,510722.2358595524,8080.264073860875
233,464493.2636072994,511763.2837833854,8096.605594407637
234,464493.2636072994,510943.91638096323,7433.754315902815
235,464493.2636072994,511571.873735018,7930.6612135510895
236,463668.3906610477,510912.0029411305,8168.367343828658
237,463668.3906610477,511845.15474047826,7773.317294363581
238,463668.3906610477,511104.2537187241,7511.828754925813
239,463668.3906610477,511884.93088869523,7569.453569700173
240,463668.3906610477,512098.646175573,7488.026356163137
241,463668.3906610477,511517.24049050367,7870.135706161415
242,463668.3906610477,510635.5413192017,7806.771863352495
243,463668.3906610477,511292.60757348523,7404.780008931138
244,463668.3906610477,511913.70237273903,7755.893491704068
245,463175.4641754327,511384.23780858936,8123.870578545522
246,463175.4641754327,511447.1858820424,8030.987889573527
247,463175.4641754327,511814.64504151064,7886.64051000425
248,463175.4641754327,511167.38076215505,7985.537769075129
249,463175.4641754327,511261.92937506054,7796.709176130458
250,463175.4641754327,511838.13783509494,7963.011572698264
251,463175.4641754327,511360.4934698005,8150.279022518714
252,463175.4641754327,511286.37386988685,7715.461650813671
253,463175.4641754327,511799.3067094248,7789.496567962853
254,462677.41757445835,511531.5674330386,7700.302060581759
255,462677.41757445835,511510.6739485341,7218.856935803744
256,462677.41757445835,511095.8544219417,7159.440767712175
257,462677.41757445835,511402.0862951711,7731.356616860788
258,462677.41757445835,511831.16388000094,7651.716810940339
259,462677.41757445835,511869.60684842814,7866.005499338418
260,462677.41757445835,511610.71818517416,8247.44287982343
261,462677.41757445835,512071.1722134353,7861.678480367527
262,462677.41757445835,511622.4315006063,8215.676961609408
263,462677.41757445835,511215.4509936817,7716.44550543956
264,462677.41757445835,511856.10905727925,8104.500115901957
265,462677.41757445835,511828.30372457614,7412.009065028415
266,462677.41757445835,512207.086157392,8072.741868330918
267,462677.41757445835,511050.37246486335,7300.687009390597
268,462677.41757445835,511846.62984407926,7643.251827468654
269,462677.41757445835,511419.6308000108,7546.501801739968
270,462677.41757445835,510926.34113677056,7367.277299578608
271,462677.41757445835,511381.2311203564,8005.020662909049
272,462599.7837916842,511253.1045915916,8177.0076621111975
273,461944.3841632148,511465.12278914097,8310.123498077506
274,461944.3841632148,511226.8532622678,8040.510501962464
275,461944.3841632148,510983.87556914106,8195.853913599782
276,461944.3841632148,511510.7782528439,8482.252813447905
277,461944.3841632148,511400.18891164043,8213.776445847989
278,461944.3841632148,510616.61597275495,7766.760060145121
279,461944.3841632148,510907.4992016002,8892.906824598216
