Vehicle,Route,Fitness
Vehicle 1,0 -> 30 -> 169 -> 177 -> 35 -> 15 -> 57 -> 108 -> 8 -> 49 -> 25 -> 15 -> 167 -> 320 -> 317 -> 12 -> 258 -> 240 -> 19 -> 237 -> 252 -> 11 -> 257 -> 262 -> 18 -> 260 -> 243 -> 43 -> 22 -> 104 -> 98 -> 65 -> 13 -> 123 -> 138 -> 2 -> 85 -> 215 -> 227 -> 10 -> 231 -> 114 -> 8 -> 0,
Vehicle 2,0 -> 72 -> 38 -> 164 -> 319 -> 3 -> 99 -> 93 -> 22 -> 121 -> 119 -> 8 -> 95 -> 220 -> 62 -> 14 -> 58 -> 197 -> 4 -> 191 -> 163 -> 3 -> 178 -> 174 -> 16 -> 157 -> 323 -> 12 -> 303 -> 300 -> 12 -> 291 -> 281 -> 21 -> 277 -> 285 -> 21 -> 296 -> 271 -> 18 -> 238 -> 259 -> 273 -> 7 -> 0,
Vehicle 3,0 -> 81 -> 315 -> 308 -> 310 -> 12 -> 278 -> 306 -> 12 -> 302 -> 311 -> 12 -> 242 -> 290 -> 7 -> 265 -> 276 -> 7 -> 165 -> 159 -> 146 -> 3 -> 155 -> 142 -> 3 -> 171 -> 41 -> 78 -> 13 -> 46 -> 29 -> 15 -> 66 -> 26 -> 15 -> 105 -> 101 -> 22 -> 69 -> 135 -> 122 -> 2 -> 55 -> 14 -> 0,
Vehicle 4,0 -> 115 -> 225 -> 207 -> 188 -> 4 -> 192 -> 143 -> 313 -> 12 -> 264 -> 270 -> 18 -> 234 -> 241 -> 253 -> 18 -> 279 -> 196 -> 195 -> 9 -> 149 -> 160 -> 16 -> 172 -> 198 -> 1 -> 47 -> 64 -> 1 -> 209 -> 218 -> 6 -> 131 -> 90 -> 45 -> 15 -> 44 -> 59 -> 1 -> 170 -> 179 -> 16 -> 0,
Vehicle 5,0 -> 40 -> 318 -> 316 -> 286 -> 12 -> 299 -> 154 -> 3 -> 70 -> 107 -> 8 -> 116 -> 219 -> 6 -> 71 -> 217 -> 205 -> 17 -> 186 -> 48 -> 33 -> 161 -> 16 -> 287 -> 283 -> 21 -> 294 -> 268 -> 248 -> 11 -> 246 -> 255 -> 18 -> 244 -> 236 -> 19 -> 249 -> 254 -> 251 -> 18 -> 239 -> 18 -> 0,
Vehicle 6,0 -> 24 -> 162 -> 158 -> 156 -> 9 -> 189 -> 204 -> 17 -> 200 -> 211 -> 5 -> 213 -> 111 -> 2 -> 124 -> 141 -> 86 -> 22 -> 100 -> 87 -> 22 -> 92 -> 63 -> 14 -> 56 -> 31 -> 150 -> 9 -> 153 -> 322 -> 297 -> 12 -> 295 -> 288 -> 21 -> 261 -> 256 -> 18 -> 232 -> 245 -> 247 -> 18 -> 0,
Vehicle 7,0 -> 73 -> 187 -> 201 -> 125 -> 2 -> 128 -> 136 -> 2 -> 94 -> 77 -> 14 -> 176 -> 32 -> 27 -> 15 -> 51 -> 168 -> 152 -> 9 -> 312 -> 280 -> 21 -> 282 -> 267 -> 7 -> 301 -> 272 -> 263 -> 7 -> 144 -> 182 -> 16 -> 183 -> 181 -> 20 -> 53 -> 74 -> 80 -> 22 -> 79 -> 117 -> 8 -> 0,
Vehicle 8,0 -> 36 -> 321 -> 67 -> 210 -> 10 -> 54 -> 118 -> 6 -> 216 -> 214 -> 17 -> 208 -> 203 -> 17 -> 206 -> 224 -> 228 -> 6 -> 221 -> 133 -> 129 -> 2 -> 50 -> 75 -> 15 -> 250 -> 298 -> 12 -> 173 -> 23 -> 15 -> 76 -> 91 -> 22 -> 130 -> 113 -> 82 -> 8 -> 61 -> 52 -> 20 -> 42 -> 15 -> 0,
Vehicle 9,0 -> 148 -> 175 -> 307 -> 12 -> 145 -> 151 -> 194 -> 9 -> 140 -> 112 -> 2 -> 134 -> 103 -> 22 -> 60 -> 202 -> 17 -> 190 -> 199 -> 229 -> 6 -> 222 -> 223 -> 6 -> 109 -> 97 -> 22 -> 184 -> 309 -> 304 -> 12 -> 305 -> 275 -> 21 -> 292 -> 289 -> 266 -> 18 -> 269 -> 233 -> 18 -> 284 -> 21 -> 0,
Vehicle 10,0 -> 127 -> 88 -> 37 -> 110 -> 14 -> 226 -> 230 -> 6 -> 84 -> 102 -> 22 -> 68 -> 180 -> 16 -> 314 -> 274 -> 18 -> 235 -> 293 -> 166 -> 3 -> 147 -> 185 -> 9 -> 193 -> 212 -> 1 -> 83 -> 89 -> 22 -> 39 -> 34 -> 28 -> 15 -> 106 -> 96 -> 126 -> 2 -> 120 -> 139 -> 137 -> 2 -> 132 -> 2 -> 0,

Best Fitness,363942.0913734761
