Generation,Best Fitness,Mean Fitness,Std Dev
1,502530.2231533823,525273.2887227881,6728.923434797524
2,502530.2231533823,524164.55812257866,7202.895010447277
3,502530.2231533823,523130.1811525868,7368.533692743998
4,500756.5350413095,523200.95999679784,7643.168361960663
5,500756.5350413095,523511.51149989234,7128.254154148053
6,500756.5350413095,523505.71541963663,6948.726661718396
7,500756.5350413095,523124.9826007793,6845.699186526636
8,500756.5350413095,522827.4384234278,7102.675939152988
9,500756.5350413095,523124.1514430069,7482.2852217841755
10,500756.5350413095,523328.34195117373,7347.045410274045
11,500756.5350413095,523167.3905657703,7392.255574272759
12,500756.5350413095,522692.1159880798,7716.727877067881
13,500333.418333028,522791.2686502831,7683.220224329969
14,500333.418333028,523463.73161575967,7847.210540159761
15,500333.418333028,523154.2361332049,7696.870671236293
16,499104.36226484616,523283.30646306445,7553.973417668488
17,499104.36226484616,523097.11757518566,7541.86656549313
18,499104.36226484616,523000.22043484234,7436.412303220908
19,496847.4419342536,522685.48817029607,7605.262883716216
20,496847.4419342536,522816.3654757488,7797.7325067789525
21,496847.4419342536,523015.21940960526,7556.760462264774
22,496847.4419342536,523399.06762250856,7453.607342309756
23,496847.4419342536,523161.4703202422,7280.0463456832895
24,496847.4419342536,523062.59451297927,7116.481247543554
25,496847.4419342536,523689.5563775395,7480.354625530647
26,496847.4419342536,523222.63618193625,6703.237415530715
27,496847.4419342536,523401.08852993086,7271.1818992042345
28,496847.4419342536,523039.69896127726,7414.0253111076045
29,496739.7724066398,523632.11127428606,7012.121969456221
30,496739.7724066398,523023.9380783402,7326.915109470585
31,496739.7724066398,524103.4717866467,7473.721894799955
32,496739.7724066398,523442.3624592767,7241.957452277544
33,496739.7724066398,523554.3277811172,7503.356703963526
34,496739.7724066398,523481.3611077851,7468.249564090579
35,496739.7724066398,523399.5134474246,7668.459369061276
36,496739.7724066398,523546.90890325897,7140.811790388338
37,496739.7724066398,522814.975070512,7387.027986703029
38,496739.7724066398,523280.7518485725,7516.181827538603
39,496739.7724066398,523602.04743257107,6900.124335827423
40,496679.6503843305,522838.86675093276,7416.288787117577
41,495599.4991242316,522930.2847594587,7603.738750316314
42,495599.4991242316,523590.1863019786,7384.813649135159
43,495599.4991242316,523171.69424413395,7477.96177446672
44,495599.4991242316,522677.35370900686,7393.131491673556
45,495599.4991242316,523288.6691340493,7289.624710677345
46,495585.4011497077,522753.67893707566,7285.189816581699
47,495585.4011497077,522465.1566167497,7431.252740433942
48,495585.4011497077,523453.9508973768,7498.058379604879
49,495585.4011497077,524136.45477040764,7664.847167785349
50,495585.4011497077,523207.1409310793,7410.577512993756
51,495585.4011497077,522678.9961389206,7714.270749629688
52,495426.6188280432,523544.2906836908,7654.227605056579
53,495426.6188280432,523181.6302170156,7745.634446880001
54,495426.6188280432,522906.5079025773,7429.599279492973
55,495426.6188280432,522936.7432845404,7204.96803470468
56,495426.6188280432,523491.57889796305,7046.652399654731
57,495426.6188280432,522732.4644178085,7287.663478952193
58,495426.6188280432,523277.8437496823,7402.119514010556
59,495426.6188280432,523491.68827349663,7545.560681139564
60,495426.6188280432,523327.7585988241,7343.704225360502
61,495426.6188280432,522922.17367623904,7532.428540455914
62,495426.6188280432,523190.86538075353,7110.349605791419
63,495426.6188280432,523150.99980887055,7828.320849661149
64,495426.6188280432,523231.30445086514,7334.874298525425
65,495426.6188280432,523251.97188127553,8086.930397273904
66,494139.88996857085,523859.3713583827,8007.381604990028
67,493848.21159584966,523460.48732469045,7957.679043073838
68,493848.21159584966,523506.95350000076,7716.4571825305675
69,493848.21159584966,522834.8993330747,7657.562743421223
70,491677.41193444555,522884.12083100225,7988.367034913783
71,489080.3073739205,523165.3827861511,7694.4444189002015
72,489080.3073739205,522428.3820504178,7692.24868485267
73,489080.3073739205,522518.1680883959,7915.532488936441
74,489080.3073739205,523342.96470621385,7830.430158721992
75,489080.3073739205,522279.25772007706,8100.827112651383
76,489080.3073739205,522548.1239145677,8110.6732280805945
77,489080.3073739205,523035.1322690557,7722.536775082796
78,489080.3073739205,523291.5224499135,7813.917250957141
79,489080.3073739205,523408.4605871636,7983.500355122311
80,489080.3073739205,523318.44191788876,7304.175476362772
81,487535.68163239874,523632.25815535296,7504.490779867945
82,487535.68163239874,524052.6922576543,7246.20717788168
83,487535.68163239874,523359.2075902797,7165.172922369948
84,487535.68163239874,523544.9052061452,7237.558225046672
85,487535.68163239874,523678.73302858934,7879.269632634073
86,487535.68163239874,522987.5037942283,7639.879532841069
87,486576.69941396127,522668.33064837405,8511.872022956792
88,486167.47813212825,523790.8939153243,7927.722552738693
89,486167.47813212825,523354.05594020244,8209.287664880398
