Vehicle,Route,Fitness
Vehicle 1,0 -> 59 -> 38 -> 45 -> 90 -> 22 -> 157 -> 149 -> 3 -> 144 -> 320 -> 12 -> 306 -> 291 -> 21 -> 243 -> 268 -> 7 -> 255 -> 265 -> 239 -> 18 -> 165 -> 168 -> 3 -> 318 -> 43 -> 69 -> 22 -> 131 -> 85 -> 8 -> 221 -> 231 -> 210 -> 10 -> 217 -> 36 -> 123 -> 2 -> 139 -> 111 -> 2 -> 0,
Vehicle 2,0 -> 128 -> 137 -> 72 -> 160 -> 16 -> 163 -> 313 -> 278 -> 21 -> 292 -> 281 -> 21 -> 293 -> 263 -> 241 -> 19 -> 232 -> 244 -> 19 -> 237 -> 249 -> 11 -> 289 -> 304 -> 195 -> 9 -> 170 -> 181 -> 20 -> 178 -> 82 -> 122 -> 2 -> 84 -> 209 -> 10 -> 211 -> 200 -> 17 -> 225 -> 206 -> 17 -> 0,
Vehicle 3,0 -> 127 -> 106 -> 230 -> 187 -> 4 -> 203 -> 228 -> 6 -> 124 -> 96 -> 22 -> 52 -> 172 -> 16 -> 150 -> 322 -> 310 -> 12 -> 285 -> 284 -> 21 -> 280 -> 276 -> 7 -> 267 -> 253 -> 18 -> 296 -> 269 -> 18 -> 246 -> 248 -> 254 -> 233 -> 18 -> 299 -> 302 -> 37 -> 15 -> 133 -> 141 -> 2 -> 0,
Vehicle 4,0 -> 113 -> 95 -> 218 -> 223 -> 6 -> 77 -> 214 -> 17 -> 205 -> 189 -> 4 -> 164 -> 185 -> 169 -> 16 -> 56 -> 44 -> 15 -> 26 -> 80 -> 22 -> 78 -> 174 -> 16 -> 143 -> 301 -> 271 -> 18 -> 257 -> 270 -> 18 -> 247 -> 236 -> 245 -> 11 -> 260 -> 290 -> 286 -> 12 -> 159 -> 125 -> 2 -> 0,
Vehicle 5,0 -> 175 -> 23 -> 68 -> 67 -> 15 -> 213 -> 216 -> 215 -> 17 -> 199 -> 204 -> 194 -> 9 -> 173 -> 183 -> 9 -> 300 -> 282 -> 21 -> 288 -> 266 -> 18 -> 240 -> 274 -> 18 -> 298 -> 303 -> 12 -> 307 -> 316 -> 40 -> 22 -> 83 -> 104 -> 22 -> 87 -> 103 -> 22 -> 130 -> 117 -> 8 -> 114 -> 8 -> 0,
Vehicle 6,0 -> 60 -> 71 -> 171 -> 53 -> 15 -> 27 -> 29 -> 15 -> 28 -> 31 -> 15 -> 25 -> 79 -> 22 -> 138 -> 112 -> 2 -> 129 -> 134 -> 108 -> 8 -> 47 -> 193 -> 9 -> 152 -> 166 -> 154 -> 3 -> 321 -> 314 -> 317 -> 12 -> 297 -> 279 -> 294 -> 7 -> 261 -> 262 -> 18 -> 252 -> 235 -> 19 -> 0,
Vehicle 7,0 -> 93 -> 120 -> 135 -> 132 -> 2 -> 98 -> 55 -> 63 -> 14 -> 41 -> 184 -> 191 -> 4 -> 186 -> 202 -> 224 -> 10 -> 109 -> 76 -> 22 -> 50 -> 158 -> 153 -> 3 -> 196 -> 156 -> 312 -> 308 -> 12 -> 277 -> 283 -> 21 -> 287 -> 273 -> 251 -> 18 -> 264 -> 258 -> 250 -> 18 -> 0,
Vehicle 8,0 -> 34 -> 88 -> 86 -> 140 -> 2 -> 208 -> 207 -> 17 -> 226 -> 222 -> 6 -> 116 -> 89 -> 22 -> 100 -> 99 -> 22 -> 91 -> 48 -> 20 -> 147 -> 142 -> 3 -> 155 -> 319 -> 275 -> 21 -> 295 -> 259 -> 18 -> 256 -> 238 -> 19 -> 182 -> 167 -> 3 -> 148 -> 198 -> 1 -> 54 -> 30 -> 20 -> 49 -> 20 -> 0,
Vehicle 9,0 -> 24 -> 188 -> 161 -> 177 -> 15 -> 42 -> 121 -> 58 -> 1 -> 64 -> 61 -> 14 -> 118 -> 97 -> 22 -> 105 -> 102 -> 22 -> 70 -> 75 -> 15 -> 180 -> 323 -> 12 -> 242 -> 151 -> 3 -> 145 -> 66 -> 15 -> 110 -> 115 -> 219 -> 6 -> 62 -> 73 -> 14 -> 126 -> 119 -> 8 -> 92 -> 107 -> 8 -> 0,
Vehicle 10,0 -> 234 -> 146 -> 162 -> 33 -> 20 -> 51 -> 57 -> 201 -> 17 -> 229 -> 227 -> 197 -> 4 -> 192 -> 190 -> 4 -> 176 -> 212 -> 220 -> 6 -> 94 -> 81 -> 65 -> 13 -> 39 -> 35 -> 46 -> 15 -> 74 -> 136 -> 2 -> 101 -> 32 -> 179 -> 16 -> 315 -> 309 -> 272 -> 7 -> 305 -> 311 -> 12 -> 0,

Best Fitness,362700.582740454
