Generation,Best Fitness,Mean Fitness,Std Dev
1,496632.8897628098,526325.1883676095,6606.337546696563
2,496632.8897628098,525371.8769994294,6708.336927657677
3,496632.8897628098,525256.4669716149,7312.788935910524
4,496566.04773387505,524666.3269542702,7233.510728122497
5,496566.04773387505,524487.0070255438,7152.709064946671
6,496566.04773387505,524665.0644764218,7229.791169336874
7,496566.04773387505,525508.6814457232,7431.421887480196
8,496566.04773387505,524831.8718376256,7145.777018986281
9,495428.35982589214,524710.8601724673,7405.642543738246
10,495428.35982589214,525027.4607341784,7223.502311241425
11,495428.35982589214,524792.8258705145,7620.134976424348
12,495428.35982589214,524806.5204323266,7507.003079203676
13,495337.863282445,525256.2311549757,7535.255028929741
14,495337.863282445,525076.1354941612,7502.955430055767
15,495337.863282445,524073.6151906762,7529.537648071951
16,494240.9145358458,524368.2304048389,7724.286804564022
17,494240.9145358458,525035.5064866486,7642.962839916239
18,492703.70896117156,524675.1070773662,8057.571160779018
19,492703.70896117156,525297.5670267274,8178.111468847829
20,492703.70896117156,523708.2260720441,7246.358477834813
21,492167.0927920179,524690.1616944562,8502.18998653081
22,492167.0927920179,524735.6278836064,8049.320254243061
23,492167.0927920179,524990.4113905345,7954.404083927728
24,490940.4197851907,524176.19020007405,7620.339734930966
25,490940.4197851907,524649.1598735271,7699.481895064251
26,490940.4197851907,525379.6952515455,7434.112248688941
27,490628.02254394424,524658.574446983,7332.928607592867
28,490628.02254394424,525241.0245957953,7821.299804669555
29,490628.02254394424,524337.4797012435,7385.165967741924
30,489339.1324801405,525295.1484647092,7828.927193951267
31,489339.1324801405,524925.3431879093,7762.217971097612
32,489339.1324801405,524735.1012460636,7720.269715980333
33,489339.1324801405,524661.1011294856,7826.92296480643
34,489228.7567307126,524804.7049605299,7564.983905747734
35,489228.7567307126,525510.1686064475,7278.664934043156
36,489228.7567307126,524929.7448927279,7155.218293976133
37,489228.7567307126,525081.4035911914,7255.509337568562
38,489228.7567307126,524647.8591836364,7529.809674612368
39,489228.7567307126,525023.0382829414,7775.170349979663
40,489228.7567307126,525034.3334175332,7368.498764298005
41,489228.7567307126,524719.1315725975,8025.9150118875905
42,489228.7567307126,524387.9684730672,7575.796077310998
43,489228.7567307126,525240.281306394,7696.655754553526
44,488960.4733859985,524687.6418763505,7788.614897941783
45,488960.4733859985,525072.9055508752,7394.901148830091
46,488960.4733859985,524774.97255096,7027.858302787173
47,488960.4733859985,524834.7440573551,7869.558927776255
48,488960.4733859985,524616.5066311625,7687.328299368965
49,488960.4733859985,524959.3363614274,7669.520660654365
50,487825.9647512117,524694.830228139,7562.058370128278
51,487825.9647512117,524475.2214899724,8085.875828604839
52,487825.9647512117,525404.6577511267,7715.899400903882
53,487774.6781131764,524711.745883081,7433.701395069714
54,487774.6781131764,524269.4189028466,7820.9324696742215
55,487774.6781131764,524816.2412342626,7583.508817463044
56,487774.6781131764,524361.81769506,7201.460441281598
57,487774.6781131764,524754.6429180754,7546.950969439038
