Vehicle,Route,Fitness
Vehicle 1,0 -> 113 -> 114 -> 122 -> 132 -> 2 -> 104 -> 60 -> 227 -> 10 -> 199 -> 59 -> 30 -> 20 -> 170 -> 40 -> 22 -> 121 -> 50 -> 20 -> 41 -> 78 -> 13 -> 145 -> 191 -> 9 -> 149 -> 147 -> 9 -> 159 -> 310 -> 279 -> 21 -> 276 -> 281 -> 21 -> 277 -> 278 -> 21 -> 244 -> 256 -> 18 -> 255 -> 18 -> 0,
Vehicle 2,0 -> 166 -> 308 -> 241 -> 234 -> 19 -> 272 -> 290 -> 7 -> 269 -> 299 -> 313 -> 12 -> 307 -> 165 -> 153 -> 3 -> 188 -> 208 -> 17 -> 62 -> 118 -> 6 -> 209 -> 184 -> 169 -> 16 -> 157 -> 172 -> 16 -> 29 -> 130 -> 125 -> 2 -> 131 -> 103 -> 22 -> 79 -> 102 -> 22 -> 110 -> 89 -> 22 -> 0,
Vehicle 3,0 -> 24 -> 23 -> 167 -> 158 -> 3 -> 154 -> 204 -> 17 -> 215 -> 210 -> 222 -> 6 -> 71 -> 72 -> 93 -> 22 -> 139 -> 141 -> 2 -> 134 -> 96 -> 81 -> 20 -> 150 -> 314 -> 12 -> 312 -> 288 -> 21 -> 242 -> 263 -> 265 -> 18 -> 261 -> 246 -> 252 -> 11 -> 233 -> 254 -> 287 -> 7 -> 0,
Vehicle 4,0 -> 106 -> 120 -> 35 -> 73 -> 14 -> 107 -> 77 -> 14 -> 57 -> 194 -> 9 -> 296 -> 271 -> 18 -> 262 -> 235 -> 19 -> 245 -> 264 -> 294 -> 7 -> 323 -> 195 -> 9 -> 52 -> 65 -> 80 -> 22 -> 138 -> 128 -> 2 -> 84 -> 220 -> 6 -> 202 -> 187 -> 201 -> 17 -> 83 -> 88 -> 90 -> 22 -> 0,
Vehicle 5,0 -> 39 -> 322 -> 152 -> 286 -> 12 -> 301 -> 292 -> 7 -> 259 -> 270 -> 18 -> 237 -> 260 -> 239 -> 18 -> 304 -> 146 -> 155 -> 3 -> 180 -> 28 -> 15 -> 66 -> 25 -> 15 -> 69 -> 117 -> 8 -> 116 -> 115 -> 218 -> 6 -> 206 -> 207 -> 214 -> 17 -> 49 -> 101 -> 22 -> 135 -> 100 -> 22 -> 0,
Vehicle 6,0 -> 33 -> 213 -> 217 -> 186 -> 4 -> 197 -> 226 -> 6 -> 111 -> 129 -> 2 -> 123 -> 99 -> 22 -> 177 -> 168 -> 266 -> 18 -> 232 -> 258 -> 273 -> 7 -> 300 -> 283 -> 21 -> 280 -> 316 -> 196 -> 9 -> 70 -> 67 -> 15 -> 91 -> 74 -> 15 -> 44 -> 85 -> 8 -> 94 -> 221 -> 37 -> 15 -> 0,
Vehicle 7,0 -> 86 -> 43 -> 36 -> 160 -> 16 -> 183 -> 178 -> 15 -> 53 -> 228 -> 6 -> 92 -> 55 -> 14 -> 47 -> 225 -> 224 -> 10 -> 58 -> 212 -> 5 -> 205 -> 26 -> 15 -> 144 -> 320 -> 12 -> 302 -> 311 -> 12 -> 306 -> 243 -> 7 -> 249 -> 238 -> 19 -> 240 -> 253 -> 18 -> 284 -> 282 -> 21 -> 268 -> 7 -> 0,
Vehicle 8,0 -> 162 -> 171 -> 321 -> 175 -> 3 -> 317 -> 315 -> 285 -> 21 -> 250 -> 303 -> 12 -> 148 -> 151 -> 3 -> 173 -> 45 -> 51 -> 20 -> 105 -> 87 -> 22 -> 97 -> 75 -> 15 -> 31 -> 126 -> 127 -> 2 -> 136 -> 124 -> 2 -> 109 -> 200 -> 17 -> 203 -> 189 -> 4 -> 38 -> 46 -> 68 -> 22 -> 0,
Vehicle 9,0 -> 176 -> 230 -> 95 -> 137 -> 2 -> 179 -> 174 -> 3 -> 142 -> 298 -> 7 -> 295 -> 289 -> 251 -> 18 -> 247 -> 236 -> 19 -> 274 -> 248 -> 275 -> 21 -> 293 -> 305 -> 164 -> 16 -> 181 -> 156 -> 9 -> 185 -> 190 -> 17 -> 211 -> 229 -> 6 -> 54 -> 64 -> 1 -> 34 -> 27 -> 32 -> 15 -> 0,
Vehicle 10,0 -> 48 -> 56 -> 61 -> 14 -> 119 -> 98 -> 8 -> 112 -> 140 -> 108 -> 8 -> 219 -> 231 -> 6 -> 223 -> 216 -> 82 -> 8 -> 63 -> 182 -> 3 -> 143 -> 163 -> 291 -> 7 -> 257 -> 267 -> 7 -> 297 -> 309 -> 12 -> 318 -> 319 -> 161 -> 16 -> 193 -> 192 -> 4 -> 133 -> 76 -> 22 -> 42 -> 198 -> 1 -> 0,

Best Fitness,370536.38522015477
