Generation,Best Fitness,Mean Fitness,Std Dev
1,515319.92890763027,537169.9027514687,6815.421359339144
2,515319.92890763027,536369.3195248729,7031.63082548744
3,515319.92890763027,535785.062933576,7389.711962748966
4,515319.92890763027,535746.070710651,7023.153250129997
5,514045.4868560218,536416.5692100296,7549.903615803118
6,512357.77502393635,536170.8206325218,7842.18920877677
7,512357.77502393635,535914.1577127196,7860.098740061806
8,512357.77502393635,536373.18273174,7167.501791191794
9,512357.77502393635,536186.1898425539,7717.532642265071
10,512357.77502393635,536205.7377596812,7426.51551541367
11,512357.77502393635,535781.7268619308,7309.659389649999
12,512357.77502393635,535346.2802374188,7380.556599701947
13,512357.77502393635,535722.275445169,7561.59011541892
14,512357.77502393635,535918.3027241617,7396.029640994877
15,512357.77502393635,535960.3455751119,7808.658243650913
16,512357.77502393635,536283.4566496423,7572.96932027956
17,512357.77502393635,535824.0819202018,6887.956096406097
18,512357.77502393635,536058.8033275079,7349.672695469417
19,512357.77502393635,535048.7005897122,7373.404855251105
20,507853.7449958165,535291.9107837225,7512.831252006591
21,507853.7449958165,535350.3928240943,7248.559171501228
22,507501.59648788354,535805.8955389983,7727.943541608815
23,506691.7497116676,534914.9843296678,7743.019942555994
24,506691.7497116676,535331.0831202735,7763.923168206057
25,506691.7497116676,536772.6769107255,7527.991624930854
26,506478.63072729623,536666.4039436075,7483.590317290203
27,506478.63072729623,536030.7808471881,7519.794322853333
28,506382.91432849516,535307.6090880552,7468.098894927961
29,506382.91432849516,535740.1234112983,7536.645375141147
30,506382.91432849516,535902.44940146,7084.1163917692165
31,506382.91432849516,536011.9761477374,7574.241302565011
32,506382.91432849516,535935.9545592358,7484.709115199049
33,506382.91432849516,535919.5591616929,7233.19295447854
34,506382.91432849516,535937.1057066392,8134.205387270707
35,506382.91432849516,536363.063043,7919.119456545819
36,506382.91432849516,535844.8233744206,7376.087503076787
37,506382.91432849516,535780.2633388169,7193.551944306217
38,506382.91432849516,535986.9542496442,7749.063649378426
39,506382.91432849516,535513.0554117056,7998.935096516698
40,506382.91432849516,535673.3496676753,7835.2307311671
41,505418.17584590754,536030.374322035,7994.480155447264
42,505029.7583941034,536277.5166761463,8314.485266163121
43,505029.7583941034,535381.6604577533,7623.641570411852
44,505029.7583941034,535438.9049982044,7254.492458327035
45,505029.7583941034,535179.692840624,7522.114132926346
46,505029.7583941034,535740.8239384942,7293.256972654053
47,505029.7583941034,535811.0437050115,7521.916512005124
48,503256.38943845243,537042.4527849403,8085.105802412694
49,503256.38943845243,535878.0213395183,8041.479756318045
50,503256.38943845243,536160.1436468547,7604.963797055544
51,503256.38943845243,536150.5131388946,7648.731555086894
52,503256.38943845243,535621.1152250934,8128.913831346395
53,503256.38943845243,536288.7260963772,7383.488012399138
54,503256.38943845243,536112.5284941489,7455.704309738013
55,503049.66340025817,536261.3275691436,7952.7339722463985
56,503049.66340025817,536197.5621103381,7808.404089969524
57,503049.66340025817,535803.0105005153,7667.351482436366
58,502118.1874194146,535880.4279653656,7847.823702198083
59,502099.0475815383,536224.594433483,7984.324299399557
60,500255.02815254417,535220.1316086646,8141.68900067073
61,497805.5469061708,535679.0173843363,8383.065244448397
62,497805.5469061708,535908.845331302,8421.686260318067
63,497613.4495868258,535794.9592415573,8252.904118697175
64,497613.4495868258,535943.8125973837,8193.398595616562
65,497613.4495868258,535613.8057415318,7761.820595846031
66,497575.15547268454,534554.2479917891,7607.692017294715
67,497575.15547268454,535896.2438295282,7640.949044784422
68,497575.15547268454,535932.697158394,7785.266452322399
69,497575.15547268454,535944.2740997022,7735.117651718123
70,497575.15547268454,535896.5662573405,7504.3560003186685
71,497575.15547268454,535797.8213633016,7175.491972537783
72,497575.15547268454,536065.158623895,7598.153114594766
73,497471.4506891432,536343.5422778021,7874.491108184291
74,495339.80087272637,535537.2154706629,8119.961939995847
75,495339.80087272637,535608.4175746511,7567.627493389692
76,495339.80087272637,535532.3432481304,7519.759917446358
77,495339.80087272637,535887.3413487712,7982.412574542565
78,495339.80087272637,536246.0022116206,7887.439840138426
79,495339.80087272637,536414.7348132135,7432.851417000562
80,495339.80087272637,536593.1757578318,7517.424672723013
81,495339.80087272637,535871.7119874116,7339.999120046198
82,495339.80087272637,535753.7442861663,7685.612032396295
83,495339.80087272637,535986.0386948857,7710.021031077887
84,495339.80087272637,535333.8006921279,7698.096994986359
85,494907.85041613487,535384.259911293,8515.471245233564
86,494907.85041613487,535800.0518281799,8199.15945840592
87,494907.85041613487,534947.0365340889,8210.651733675712
88,494907.85041613487,535952.1615628827,8039.25823014546
89,494907.85041613487,535507.4855539115,7960.067119913034
90,494907.85041613487,535920.5362614415,8277.4441353875
91,494907.85041613487,536015.9215245378,8113.671354268944
92,494907.85041613487,535751.730247376,8035.601501525553
93,494654.9557084261,535361.8500612683,7621.736364686009
94,494017.87735438225,535130.9679749946,8141.035504987124
95,494017.87735438225,535192.9714843376,8164.352180687491
96,494017.87735438225,535952.6150427884,8322.113485408046
97,494017.87735438225,535693.7709001508,7950.212177319269
98,494017.87735438225,535979.437251759,7717.27591633159
99,494017.87735438225,535646.6611491007,7710.603673315301
100,493702.07127020054,535512.293880181,7957.19073607172
101,493702.07127020054,535463.8717770878,7850.2005010769235
102,493702.07127020054,535832.1805595673,7864.691988264148
103,493702.07127020054,535713.9483471022,7996.011588719814
104,493702.07127020054,535908.2362427079,7999.231937174261
105,493702.07127020054,536352.1201821214,7702.6336141860265
106,493702.07127020054,535710.4092794857,8033.774463972022
107,493702.07127020054,535259.92219493,8422.444631602195
108,493702.07127020054,535622.9545342204,9490.056889998003
109,493702.07127020054,535368.77909093,8685.944397863217
110,493702.07127020054,535186.8639406293,8844.684808938642
111,493702.07127020054,535752.1787436473,8256.452268382878
112,493702.07127020054,536169.8931504488,8108.383760603032
113,493702.07127020054,535695.7432464573,7572.834657895609
114,493702.07127020054,535135.496621827,7879.471949769704
115,493702.07127020054,535625.7030116088,7743.39160627449
116,493702.07127020054,535643.7721879347,8298.376039675128
117,493702.07127020054,535921.4275229202,7836.620176353411
118,493702.07127020054,535627.1737738703,7983.413116537585
119,493702.07127020054,535349.4499471621,7980.321955161105
120,493702.07127020054,536033.4094590202,8180.152887052582
121,493235.69497223926,535321.1908885796,7948.951935505363
122,493235.69497223926,535515.9375502258,7860.756048052608
123,493235.69497223926,535960.0555276363,7934.359255968179
124,492818.44546081463,536029.4415649186,7787.189582511413
125,492818.44546081463,536016.3459589838,8117.255239390106
